                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2247,                 3.6292,                 1.3948,                0.00303,                      1,                0.10176,                0.08284,                 1.0021,                 3.9743,                 1.2153,                  8e-05,                  8e-05,                  8e-05
                      2,                  1.179,                 3.4529,                 1.3433,                0.00303,                      1,                0.64658,                 0.4961,                0.82844,                 3.4532,                0.86073,             0.00017822,             0.00017822,             0.00017822
                      3,                0.93592,                 2.8633,                 1.0327,                0.00303,                      1,                0.75233,                0.59033,                0.89779,                 3.4575,                0.84893,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.0003,                  2.529,                 1.0973,                0.00303,                      1,                0.90211,                0.64102,                0.83263,                 3.2664,                0.82686,             0.00036871,             0.00036871,             0.00036871
                      5,                0.90803,                 1.6188,                 1.0144,                0.84163,                    0.7,                0.80854,                0.67208,                 0.7743,                 3.0743,                0.84243,             0.00046099,             0.00046099,             0.00046099
                      6,                0.92081,                 1.6159,                0.95065,                      1,                 0.5962,                0.97833,                0.72809,                0.76823,                 3.0463,                0.84708,             0.00055129,             0.00055129,             0.00055129
                      7,                0.90524,                 1.6112,                 1.0216,                      1,                0.67043,                0.97833,                0.75967,                0.95956,                 3.2606,                0.90258,             0.00063961,             0.00063961,             0.00063961
                      8,                0.91952,                 1.4288,                 1.0213,                0.98721,                      1,                  0.995,                0.79756,                0.78296,                 2.8108,                0.83352,             0.00072595,             0.00072595,             0.00072595
                      9,                0.88077,                 1.6681,                 1.0476,                      1,                0.91758,                  0.995,                0.72881,                0.93618,                 2.7415,                0.89697,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.1535,                 1.5608,                 1.2186,                0.97336,                      1,                  0.995,                0.77523,                0.84696,                 2.9155,                0.88708,             0.00089268,             0.00089268,             0.00089268
                     11,                0.89815,                 1.4199,                 1.0036,                0.95201,                      1,                  0.995,                0.81697,                0.72519,                 2.9943,                 0.8498,             0.00097308,             0.00097308,             0.00097308
                     12,                0.93124,                 1.4755,                  1.044,                      1,                 0.9968,                  0.995,                0.73415,                0.90687,                 2.9117,                 0.8989,              0.0010515,              0.0010515,              0.0010515
                     13,                0.84798,                 1.3311,                0.96818,                0.97408,                      1,                  0.995,                0.81459,                0.84055,                 2.5972,                0.85788,              0.0011279,              0.0011279,              0.0011279
                     14,                0.91886,                 1.4124,                 1.0128,                0.97317,                      1,                  0.995,                0.74112,                 0.9907,                 2.5236,                 0.8918,              0.0012024,              0.0012024,              0.0012024
                     15,                0.81787,                 1.3456,                0.97684,                0.99153,                      1,                  0.995,                0.76174,                0.84919,                 2.3858,                0.84797,              0.0012749,              0.0012749,              0.0012749
                     16,                0.84352,                 1.2447,                 1.0316,                0.73328,                    0.7,                0.83545,                0.68296,                0.78619,                 2.8294,                0.84035,              0.0013454,              0.0013454,              0.0013454
                     17,                0.87764,                 1.3661,                 0.9995,                0.99192,                    0.8,                0.86222,                0.75201,                 0.6942,                 2.4546,                0.84394,              0.0014139,              0.0014139,              0.0014139
                     18,                0.87533,                 1.3389,                 1.0152,                0.88239,                    0.9,                0.96192,                0.73477,                0.75867,                 2.1571,                0.88077,              0.0014804,              0.0014804,              0.0014804
                     19,                0.81069,                 1.1282,                0.98793,                0.99474,                      1,                  0.995,                0.74855,                 0.9204,                 2.0042,                0.88336,               0.001545,               0.001545,               0.001545
